District code,Population,Housholds_with_Electric_Lighting,Households_with_Internet,State,District,Latitude,Longitude,sex ratio,Literacy Rate
385,962789,124984,1163,Orissa,Nayagarh,20.192895622119817,85.05614700460825,92.0,71.0
386,2251673,349860,35701,Orissa,Khordha,20.054162322274863,85.52234834123229,93.0,78.0
387,1698730,201605,3416,Orissa,Puri,19.83509174603177,85.86698989898981,96.0,76.0
388,3529031,405298,9049,Orissa,Ganjam,19.2632617564534,84.80297710437702,98.0,63.0
389,577817,63112,635,Orissa,Gajapati,19.121080882352945,84.14015091911759,104.0,45.0
390,733110,28736,768,Orissa,Kandhamal,20.092878624813142,84.02216352765326,104.0,55.0
394,610382,43976,757,Orissa,Nuapada,20.471309512195116,82.59152536585364,102.0,49.0
395,1576869,91171,1953,Orissa,Kalahandi,19.784253092783523,83.1124043814433,100.0,51.0
396,967911,61543,1553,Orissa,Rayagada,19.292840020060204,83.45860120361095,105.0,42.0
398,1379647,85766,3988,Orissa,Koraput,18.82627794779476,82.81278469846964,103.0,41.0
399,613192,24604,448,Orissa,Malkangiri,18.25227930367506,81.98293636363628,102.0,40.0
400,658917,80023,1667,Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,97.0,60.0
401,2359886,253131,2737,Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,98.0,50.0
402,851669,76783,567,Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,101.0,58.0
403,1493984,297308,3342,Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,99.0,64.0
403,1493984,297308,3342,Maharashtra,Raigarh,18.453257637845976,73.0090609418579,99.0,64.0
404,1206640,202380,4544,Chhattisgarh,Korba,22.491712499999995,82.57604326923074,97.0,62.0
406,2663629,519704,8566,Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,97.0,60.0
406,2663629,519704,8566,Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,97.0,60.0
409,3343872,614109,16141,Chhattisgarh,Durg,21.194463849287164,81.33181639511197,99.0,69.0
410,4063872,728556,20261,Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,98.0,65.0
411,1032754,212487,961,Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,102.0,62.0
412,799781,148926,1016,Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,101.0,68.0
414,1413199,157646,1782,Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,102.0,46.0
417,255230,12516,117,Karnataka,Bijapur,16.84015316666667,75.95909166666665,98.0,34.0
418,687861,74770,273,Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484,90.0,48.0
419,1965970,131486,1781,Madhya Pradesh,Morena,26.37313504531724,77.88447341389724,84.0,60.0
420,1703005,107819,1166,Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,84.0,64.0
421,2032036,306859,15779,Madhya Pradesh,Gwalior,26.04074441964285,78.12782433035713,86.0,67.0
422,786754,97696,616,Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,87.0,62.0
423,1726050,148128,1852,Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549,88.0,52.0
424,1445166,132725,1090,Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,90.0,52.0
425,1762375,176056,1880,Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,88.0,54.0
426,1016520,76097,653,Madhya Pradesh,Panna,24.451325840092657,80.21133001158752,91.0,54.0
427,2378458,366494,4546,Madhya Pradesh,Sagar,23.800318709677374,78.71940357771273,89.0,65.0
428,1264219,187731,1432,Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588,91.0,59.0
